Objective,ID,CommunityID,Bidoffer ,Area,Plots,YoungFarmer,OldFarmer,Age,Male ,Female ,PriceHa,PricePlot,Averagesizeplot,SmallPlot,LargePlot,CWRhotspotgenus,Elevation,TransactionCost,Ecoregion,Ecoregion1,Ecoregion2,Community ,nonGMA,GMA ,SmallFarms,FarmSize,VignaUnguiculata,VignaJuncea,EleusineCoracana,PennisetumPurpureum,SorghumBicolar ,SolanumIncanum,EleusineIndica ,Cucumis Zeyheri,OryzaLongistaminata,Richness,DecisionCells
EQUITABILITY,100,C6,45.9,3.9,2,0,1,39,0,1,11.7,22.93,1.96,0,1,1,847,11.5,1,1,0,6,1,0,0,7.84,1,0,0,0,1,1,1,0,0,4,1
BASIC,99,C6,73.4,2,2,0,1,42,0,1,37.43,36.68,0.98,0,1,1,847,18.3,1,1,0,6,1,0,0,7.35,1,0,0,0,1,1,1,0,0,4,1
DIVERSITY,137,C8,27.5,1,1,1,0,28,1,0,27.51,27.51,1,0,1,1,1082,6.9,1,1,0,8,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1
DIVERSITY,139,C8,27.5,1,1,1,0,27,0,1,27.51,27.51,1,0,1,1,1082,6.9,1,1,0,8,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1
DIVERSITY,145,C8,27.5,1,1,0,1,37,0,1,27.51,27.51,1,0,1,1,1082,6.9,1,1,0,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
DIVERSITY,146,C8,27.5,1,1,1,0,33,1,0,27.51,27.51,1,0,1,1,1082,6.9,1,1,0,8,0,1,0,2.5,0,0,0,0,0,0,0,0,0,0,1
DIVERSITY,147,C8,27.5,1,1,0,1,67,0,1,27.51,27.51,1,0,1,1,1082,6.9,1,1,0,8,0,1,0,2.5,0,0,0,0,0,0,0,0,0,0,1
DIVERSITY,140,C8,32.1,1.5,1,0,1,57,1,0,21.4,32.1,1.5,0,1,1,1082,8,1,1,0,8,0,1,0,4.5,0,0,0,0,0,0,0,0,0,0,1
DIVERSITY,150,C8,55,2,1,0,1,45,1,0,27.51,55.02,2,0,1,1,1082,13.8,1,1,0,8,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1
DIVERSITY,135,C8,77.9,2,2,1,0,30,1,0,38.97,38.97,1,0,1,1,1082,19.5,1,1,0,8,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1
