Objective,ID,CommunityID,Bidoffer ,Area,Plots,YoungFarmer,OldFarmer,Age,Male ,Female ,PriceHa,PricePlot,Averagesizeplot,SmallPlot,LargePlot,CWRhotspotgenus,Elevation,TransactionCost,Ecoregion,Ecoregion1,Ecoregion2,Community ,nonGMA,GMA ,SmallFarms,FarmSize,VignaUnguiculata,VignaJuncea,EleusineCoracana,PennisetumPurpureum,SorghumBicolar ,SolanumIncanum,EleusineIndica ,Cucumis Zeyheri,OryzaLongistaminata,Richness,DecisionCells
DIVERSITY,362,C19,73.4,0.3,1,1,0,28,1,0,293.44,73.36,0.25,1,0,1,1381,18.3,2,0,1,19,1,0,0,4,0,0,0,1,0,0,1,0,0,2,1
DIVERSITY,368,C19,77.9,0.3,1,0,1,40,0,1,311.78,77.95,0.25,1,0,1,1381,19.5,2,0,1,19,1,0,0,5,0,0,0,1,0,0,1,0,0,2,1
DIVERSITY,110,C6,82.5,1.5,3,1,0,30,1,0,56.14,27.51,0.49,1,0,1,847,20.6,1,1,0,6,1,0,0,13.72,1,0,0,0,1,1,1,0,0,4,1
DIVERSITY,309,C17,88,2,2,0,1,38,1,0,44.02,44.02,1,0,1,1,1250,22,2,0,1,17,0,1,1,2,0,0,1,1,1,1,1,0,1,7,1
DIVERSITY,354,C19,91.7,1,1,1,0,30,1,0,91.7,91.7,1,0,1,1,1381,22.9,2,0,1,19,1,0,0,16,0,0,0,1,0,0,1,0,0,2,1
DIVERSITY,192,C11,91.7,1,1,0,1,54,1,0,93.57,91.7,0.98,0,1,0,999,22.9,1,1,0,11,0,1,0,4.9,0,0,0,0,0,1,0,1,0,1,1
DIVERSITY,98,C6,91.7,2.5,5,1,0,29,0,1,37.43,18.34,0.49,1,0,1,847,22.9,1,1,0,6,1,0,0,4.9,1,0,0,0,1,1,1,0,0,4,1
DIVERSITY,319,C17,114.6,3,2,0,1,30,1,0,38.21,57.31,1.5,0,1,1,1250,28.7,2,0,1,17,0,1,1,2,0,0,1,1,1,1,1,0,1,7,1
DIVERSITY,413,C24,36.7,0.3,2,0,1,49,0,1,146.72,18.34,0.13,1,0,0,1305,9.2,2,0,1,24,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1
DIVERSITY,417,C24,64.2,0.5,2,0,1,36,0,1,128.38,32.1,0.25,1,0,0,1305,16,2,0,1,24,1,0,1,1.25,0,0,0,1,0,0,0,0,0,0,1
DIVERSITY,418,C24,64.2,0.3,2,1,0,43,1,0,256.76,32.1,0.13,1,0,0,1305,16,2,0,1,24,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1
DIVERSITY,416,C24,68.8,0.3,3,1,0,37,0,1,275.1,22.93,0.08,1,0,0,1305,17.2,2,0,1,24,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1
DIVERSITY,412,C24,73.4,0.5,3,0,1,48,1,0,146.72,24.45,0.17,1,0,0,1305,18.3,2,0,1,24,1,0,1,1.5,0,0,0,1,0,0,0,0,0,0,1
EQUITABILITY,346,C18,27.5,2.4,2,1,0,47,1,0,11.46,13.76,1.2,0,1,1,1225,6.9,2,0,1,18,0,1,0,2.5,0,0,1,0,0,0,0,0,0,1,1
EQUITABILITY,347,C18,27.5,2,2,0,1,46,0,1,13.76,13.76,1,0,1,1,1225,6.9,2,0,1,18,0,1,0,3,0,0,1,0,0,0,0,0,0,1,1
EQUITABILITY,328,C17,45.9,0.8,3,1,0,45,1,0,61.13,15.28,0.25,1,0,1,1250,11.5,2,0,1,17,0,1,1,1.5,0,0,1,1,1,1,1,0,1,7,1
EQUITABILITY,41,C3,45.9,0.3,1,0,1,45,1,0,183.4,45.85,0.25,1,0,2,970,11.5,1,1,0,3,1,0,0,2.5,1,1,1,0,0,0,0,0,0,3,1
EQUITABILITY,48,C3,45.9,0.3,1,0,1,57,1,0,183.4,45.85,0.25,1,0,2,970,11.5,1,1,0,3,1,0,1,1.5,1,1,1,0,0,0,0,0,0,3,1
DIVERSITY,196,C11,366.8,0.5,1,0,1,43,1,0,748.57,366.8,0.49,1,0,0,999,91.7,1,1,0,11,0,1,0,3.92,0,0,0,0,0,1,0,1,0,1,1
DIVERSITY,202,C11,366.8,0.5,1,0,1,43,1,0,748.57,366.8,0.49,1,0,0,999,91.7,1,1,0,11,0,1,0,3.92,0,0,0,0,0,1,0,1,0,1,1
AREA,70,C4,82.5,0.4,3,0,1,51,0,1,220.08,27.51,0.13,1,0,2,990,20.6,1,1,0,4,1,0,0,2.25,1,0,0,0,0,0,0,0,0,1,1
DIVERSITY,70,C4,82.5,0.4,3,0,1,51,0,1,220.08,27.51,0.13,1,0,2,990,20.6,1,1,0,4,1,0,0,2.25,1,0,0,0,0,0,0,0,0,1,1
DIVERSITY,193,C11,412.7,0.5,1,0,1,43,1,0,842.14,412.65,0.49,1,0,0,999,103.2,1,1,0,11,0,1,0,5.88,0,0,0,0,0,1,0,1,0,1,1
EQUITABILITY,54,C4,82.5,0.3,2,0,1,45,0,1,330.12,41.27,0.13,1,0,2,990,20.6,1,1,0,4,1,0,1,2,1,0,0,0,0,0,0,0,0,1,1
BASIC,98,C6,91.7,2.5,5,1,0,29,0,1,37.43,18.34,0.49,1,0,1,847,22.9,1,1,0,6,1,0,0,4.9,1,0,0,0,1,1,1,0,0,4,1
DIVERSITY,194,C11,412.7,0.5,1,1,0,32,1,0,842.14,412.65,0.49,1,0,0,999,103.2,1,1,0,11,0,1,0,2.45,0,0,0,0,0,1,0,1,0,1,1
EQUITABILITY,329,C17,45.9,0.8,3,1,0,35,1,0,61.13,15.28,0.25,1,0,1,1250,11.5,2,0,1,17,0,1,1,1.5,0,0,1,1,1,1,1,0,1,7,1
EQUITABILITY,58,C4,110,0.4,2,1,0,22,1,0,293.44,55.02,0.19,1,0,2,990,27.5,1,1,0,4,1,0,1,1.25,1,0,0,0,0,0,0,0,0,1,1
AREA,302,C16,183.4,8,1,1,0,54,0,1,22.93,183.4,8,0,1,1,1262,45.9,2,0,1,16,0,1,1,0.5,0,0,1,0,0,0,0,0,0,1,1
DIVERSITY,301,C16,229.3,4,1,1,0,58,1,0,57.31,229.25,0,0,1,1,1262,57.3,2,0,1,16,0,1,1,0.5,0,0,1,0,0,0,0,0,0,1,1
EQUITABILITY,332,C17,45.9,0.8,3,1,0,41,1,0,61.13,15.28,0.25,1,0,1,1250,11.5,2,0,1,17,0,1,1,2,0,0,1,1,1,1,1,0,1,7,1
EQUITABILITY,121,C7,91.7,0.5,1,1,0,31,0,1,187.14,91.7,0.49,1,0,0,1103,22.9,1,1,0,7,1,0,1,1.47,0,0,0,0,0,0,0,0,0,0,1
EQUITABILITY,129,C8,27.5,0.5,1,0,1,49,0,1,55.02,27.51,0.5,1,0,1,1082,6.9,1,1,0,8,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1
EQUITABILITY,131,C8,18.3,0.5,1,0,1,35,1,0,36.68,18.34,0.5,1,0,1,1082,4.6,1,1,0,8,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1
EQUITABILITY,132,C8,27.5,1,2,0,1,36,0,1,27.51,13.76,0.5,1,0,1,1082,6.9,1,1,0,8,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1
EQUITABILITY,135,C8,77.9,2,2,1,0,30,1,0,38.97,38.97,1,0,1,1,1082,19.5,1,1,0,8,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1
EQUITABILITY,136,C8,55,1,1,0,1,60,0,1,55.02,55.02,1,0,1,1,1082,13.8,1,1,0,8,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1
EQUITABILITY,137,C8,27.5,1,1,1,0,28,1,0,27.51,27.51,1,0,1,1,1082,6.9,1,1,0,8,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1
EQUITABILITY,138,C8,32.1,1,2,0,1,42,0,1,32.1,16.05,0.5,1,0,1,1082,8,1,1,0,8,0,1,0,2.5,0,0,0,0,0,0,0,0,0,0,1
EQUITABILITY,139,C8,27.5,1,1,1,0,27,0,1,27.51,27.51,1,0,1,1,1082,6.9,1,1,0,8,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1
EQUITABILITY,141,C8,55,1,1,1,0,31,0,1,55.02,55.02,1,0,1,1,1082,13.8,1,1,0,8,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1
EQUITABILITY,143,C8,155.9,3,2,1,0,34,1,0,51.96,77.95,1.5,0,1,1,1082,39,1,1,0,8,0,1,0,8,0,0,0,0,0,0,0,0,0,0,1
EQUITABILITY,144,C8,155.9,3,2,0,1,37,1,0,51.96,77.95,1.5,0,1,1,1082,39,1,1,0,8,0,1,0,8,0,0,0,0,0,0,0,0,0,0,1
EQUITABILITY,145,C8,27.5,1,1,0,1,37,0,1,27.51,27.51,1,0,1,1,1082,6.9,1,1,0,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
EQUITABILITY,146,C8,27.5,1,1,1,0,33,1,0,27.51,27.51,1,0,1,1,1082,6.9,1,1,0,8,0,1,0,2.5,0,0,0,0,0,0,0,0,0,0,1
EQUITABILITY,147,C8,27.5,1,1,0,1,67,0,1,27.51,27.51,1,0,1,1,1082,6.9,1,1,0,8,0,1,0,2.5,0,0,0,0,0,0,0,0,0,0,1
EQUITABILITY,148,C8,33,1,1,1,0,24,1,0,33.01,33.01,1,0,1,1,1082,8.3,1,1,0,8,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1
EQUITABILITY,149,C8,27.5,1,2,0,1,43,0,1,27.51,13.76,0.5,1,0,1,1082,6.9,1,1,0,8,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1
EQUITABILITY,155,C9,183.4,0.5,,1,0,33,0,1,374.29,,,,,2,1104,45.9,1,1,0,9,0,1,1,1.96,0,0,0,0,0,0,0,0,0,0,1
EQUITABILITY,159,C9,183.4,0.5,,1,0,30,0,1,374.29,,,,,2,1104,45.9,1,1,0,9,0,1,1,1.96,0,0,0,0,0,0,0,0,0,0,1
EQUITABILITY,162,C9,73.4,0.5,,0,1,58,0,1,149.71,,,,,2,1104,18.3,1,1,0,9,0,1,1,1.47,0,0,0,0,0,0,0,0,0,0,1
EQUITABILITY,165,C9,45.9,0.5,,1,0,30,0,1,93.57,,,,,2,1104,11.5,1,1,0,9,0,1,1,1.47,0,0,0,0,0,0,0,0,0,0,1
EQUITABILITY,166,C9,55,0.5,,0,1,55,0,1,112.29,,,,,2,1104,13.8,1,1,0,9,0,1,1,1.96,0,0,0,0,0,0,0,0,0,0,1
EQUITABILITY,168,C9,82.5,0.5,,1,0,21,1,0,168.43,,,,,2,1104,20.6,1,1,0,9,0,1,1,1.47,0,0,0,0,0,0,0,0,0,0,1
EQUITABILITY,169,C9,64.2,0.5,,1,0,23,0,1,131,,,,,2,1104,16,1,1,0,9,0,1,1,1.47,0,0,0,0,0,0,0,0,0,0,1
EQUITABILITY,170,C9,27.5,0.5,,1,0,31,1,0,56.14,,,,,2,1104,6.9,1,1,0,9,0,1,1,1.96,0,0,0,0,0,0,0,0,0,0,1
EQUITABILITY,172,C9,82.5,0.5,,0,1,57,0,1,168.43,,,,,2,1104,20.6,1,1,0,9,0,1,1,1.96,0,0,0,0,0,0,0,0,0,0,1
EQUITABILITY,174,C9,91.7,0.5,,0,1,52,0,1,187.14,,,,,2,1104,22.9,1,1,0,9,0,1,1,1.96,0,0,0,0,0,0,0,0,0,0,1
EQUITABILITY,175,C9,275.1,0.5,,1,0,28,0,1,561.43,,,,,2,1104,68.8,1,1,0,9,0,1,1,1.47,0,0,0,0,0,0,0,0,0,0,1
EQUITABILITY,180,C9,73.4,0.5,,1,0,30,0,1,149.71,,,,,2,1104,18.3,1,1,0,9,0,1,1,1.47,0,0,0,0,0,0,0,0,0,0,1
EQUITABILITY,410,C23,45.9,0.8,3,1,0,41,0,1,61.13,15.28,0.25,1,0,0,1174,11.5,2,0,1,23,1,0,0,10,0,0,0,0,0,1,1,0,0,2,1
EQUITABILITY,411,C23,45.9,0.8,3,1,0,54,0,1,61.13,15.28,0.25,1,0,0,1174,11.5,2,0,1,23,1,0,0,10,0,0,0,0,0,1,1,0,0,2,1
EQUITABILITY,392,C22,45.9,0.3,1,0,1,38,0,1,183.4,45.85,0.25,1,0,1,1358,11.5,2,0,1,22,1,0,0,60,0,0,0,1,0,0,1,0,0,3,1
EQUITABILITY,313,C17,47.7,2,5,0,1,35,0,1,23.84,9.54,0.4,1,0,1,1250,11.9,2,0,1,17,0,1,1,2,0,0,1,1,1,1,1,0,1,7,1
EQUITABILITY,103,C6,55,4.9,2,0,1,47,1,0,11.23,27.51,2.45,0,1,1,847,13.8,1,1,0,6,1,0,0,7.84,1,0,0,0,1,1,1,0,0,4,1
EQUITABILITY,212,C12,91.7,1,2,1,0,26,1,0,93.57,45.85,0.49,1,0,1,987,22.9,1,1,0,12,0,1,0,3.92,0,0,0,0,0,0,0,0,0,0,1
EQUITABILITY,234,C13,229.3,1,1,1,0,28,1,0,229.25,229.25,1,0,1,1,1071,57.3,1,1,0,13,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1
EQUITABILITY,271,C14,45.9,2,2,0,1,36,0,1,22.93,22.93,1,0,1,0,1401,11.5,2,0,1,14,0,1,1,1.5,0,0,0,0,0,0,0,0,0,0,1
EQUITABILITY,272,C14,45.9,2,2,1,0,44,0,1,22.93,22.93,1,0,1,0,1401,11.5,2,0,1,14,0,1,1,1.5,0,0,0,0,0,0,0,0,0,0,1
EQUITABILITY,273,C14,11,1,1,0,1,80,0,1,11,11,1,0,1,0,1401,2.8,2,0,1,14,0,1,1,1.75,0,0,0,0,0,0,0,0,0,0,1
EQUITABILITY,279,C15,91.7,0.8,3,1,0,40,1,0,122.27,30.57,0.25,1,0,1,1382,22.9,2,0,1,15,0,1,1,0.75,0,0,0,0,0,0,0,0,0,0,1
EQUITABILITY,282,C15,45.9,0.5,2,1,0,48,0,1,91.7,22.93,0.25,1,0,1,1382,11.5,2,0,1,15,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1
EQUITABILITY,288,C15,77.9,1,2,1,0,53,1,0,77.95,38.97,0.5,1,0,1,1382,19.5,2,0,1,15,0,1,1,0.75,0,0,0,0,0,0,0,0,0,0,1
EQUITABILITY,106,C6,55,2,2,1,0,25,1,0,28.07,27.51,0.98,0,1,1,847,13.8,1,1,0,6,1,0,0,3.92,1,0,0,0,1,1,1,0,0,4,1
EQUITABILITY,400,C22,55,0.3,1,1,0,43,0,1,220.08,55.02,0.25,1,0,1,1358,13.8,2,0,1,22,1,0,0,12,0,0,0,1,0,0,1,0,0,3,1
EQUITABILITY,192,C11,91.7,1,1,0,1,54,1,0,93.57,91.7,0.98,0,1,0,999,22.9,1,1,0,11,0,1,0,4.9,0,0,0,0,0,1,0,1,0,1,1
EQUITABILITY,4,C1,91.7,0.5,1,0,1,50,0,1,187.14,91.7,0.49,1,0,2,1237,22.9,1,1,0,1,1,0,1,0.98,0,1,1,0,0,0,0,0,0,2,1
EQUITABILITY,5,C1,91.7,0.3,0.5,1,0,27,0,1,366.8,183.4,0,1,0,2,1237,22.9,1,1,0,1,1,0,1,0.49,0,1,1,0,0,0,0,0,0,2,1
EQUITABILITY,7,C1,91.7,0.5,1,1,0,25,0,1,187.14,91.7,0.49,1,0,2,1237,22.9,1,1,0,1,1,0,1,1.47,0,1,1,0,0,0,0,0,0,2,1
EQUITABILITY,14,C1,91.7,0.5,1,1,0,30,0,1,187.14,91.7,0.49,1,0,2,1237,22.9,1,1,0,1,1,0,0,2.94,0,1,1,0,0,0,0,0,0,2,1
EQUITABILITY,296,C16,91.7,2,3,0,1,48,1,0,45.85,30.57,0.67,1,0,1,1262,22.9,2,0,1,16,0,1,1,2,0,0,1,0,0,0,0,0,0,1,1
EQUITABILITY,92,C6,64.2,2,2,1,0,25,0,1,32.75,32.1,0.98,0,1,1,847,16,1,1,0,6,1,0,0,9.8,1,0,0,0,1,1,1,0,0,4,1
EQUITABILITY,408,C23,64.2,1,4,1,0,30,0,1,64.19,16.05,0.25,1,0,0,1174,16,2,0,1,23,1,0,0,3,0,0,0,0,0,1,1,0,0,2,1
EQUITABILITY,362,C19,73.4,0.3,1,1,0,28,1,0,293.44,73.36,0.25,1,0,1,1381,18.3,2,0,1,19,1,0,0,4,0,0,0,1,0,0,1,0,0,2,1
EQUITABILITY,37,C3,137.6,0.5,1,0,1,44,1,0,275.1,137.55,0.5,1,0,2,970,34.4,1,1,0,3,1,0,0,2.25,1,1,1,0,0,0,0,0,0,3,1
EQUITABILITY,299,C16,137.6,3,1,0,1,30,0,1,45.85,137.55,3,0,1,1,1262,34.4,2,0,1,16,0,1,1,1.5,0,0,1,0,0,0,0,0,0,1,1
EQUITABILITY,302,C16,183.4,8,1,1,0,54,0,1,22.93,183.4,8,0,1,1,1262,45.9,2,0,1,16,0,1,1,0.5,0,0,1,0,0,0,0,0,0,1,1
EQUITABILITY,339,C18,183.4,3,12,0,1,48,0,1,61.13,15.28,0.25,1,0,1,1225,45.9,2,0,1,18,0,1,1,2,0,0,1,0,0,0,0,0,0,1,1
EQUITABILITY,301,C16,229.3,4,1,1,0,58,1,0,57.31,229.25,0,0,1,1,1262,57.3,2,0,1,16,0,1,1,0.5,0,0,1,0,0,0,0,0,0,1,1
EQUITABILITY,303,C16,229.3,8,2,0,1,50,0,1,28.66,114.63,4,0,1,1,1262,57.3,2,0,1,16,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1
EQUITABILITY,343,C18,275.1,2,2,1,0,42,0,1,137.55,137.55,1,0,1,1,1225,68.8,2,0,1,18,0,1,1,0.75,0,0,1,0,0,0,0,0,0,1,1
EQUITABILITY,389,C22,73.4,0.3,1,0,1,38,0,1,293.44,73.36,0.25,1,0,1,1358,18.3,2,0,1,22,1,0,0,6,0,0,0,1,0,0,1,0,0,3,1
EQUITABILITY,364,C19,82.5,0.3,1,0,1,38,1,0,330.12,82.53,0.25,1,0,1,1381,20.6,2,0,1,19,1,0,1,0,0,0,0,1,0,0,1,0,0,2,1
EQUITABILITY,98,C6,91.7,2.5,5,1,0,29,0,1,37.43,18.34,0.49,1,0,1,847,22.9,1,1,0,6,1,0,0,4.9,1,0,0,0,1,1,1,0,0,4,1
EQUITABILITY,311,C17,91.7,2,4,1,0,51,1,0,45.85,22.93,0.5,1,0,1,1250,22.9,2,0,1,17,0,1,1,2,0,0,1,1,1,1,1,0,1,7,1
EQUITABILITY,316,C17,91.7,1,3,0,1,32,0,1,91.7,30.57,0.33,1,0,1,1250,22.9,2,0,1,17,0,1,1,0.5,0,0,1,1,1,1,1,0,1,7,1
EQUITABILITY,354,C19,91.7,1,1,1,0,30,1,0,91.7,91.7,1,0,1,1,1381,22.9,2,0,1,19,1,0,0,16,0,0,0,1,0,0,1,0,0,2,1
EQUITABILITY,369,C19,91.7,0.3,1,1,0,32,0,1,366.8,91.7,0.25,1,0,1,1381,22.9,2,0,1,19,1,0,0,5,0,0,0,1,0,0,1,0,0,2,1
EQUITABILITY,393,C22,91.7,1,4,0,1,79,0,1,91.7,22.93,0.25,1,0,1,1358,22.9,2,0,1,22,1,0,0,68,0,0,0,1,0,0,1,0,0,3,1
EQUITABILITY,360,C19,100.9,0.3,1,1,0,56,0,1,403.48,100.87,0.25,1,0,1,1381,25.2,2,0,1,19,1,0,0,10,0,0,0,1,0,0,1,0,0,2,1
EQUITABILITY,325,C17,110,0.5,1,1,0,40,1,0,220.08,110.04,0.5,1,0,1,1250,27.5,2,0,1,17,0,1,1,1.5,0,0,1,1,1,1,1,0,1,7,1
EQUITABILITY,391,C22,183.4,1,1,1,0,38,0,1,183.4,183.4,1,0,1,1,1358,45.9,2,0,1,22,1,0,0,10,0,0,0,1,0,0,1,0,0,3,1
EQUITABILITY,202,C11,366.8,0.5,1,0,1,43,1,0,748.57,366.8,0.49,1,0,0,999,91.7,1,1,0,11,0,1,0,3.92,0,0,0,0,0,1,0,1,0,1,1
EQUITABILITY,194,C11,412.7,0.5,1,1,0,32,1,0,842.14,412.65,0.49,1,0,0,999,103.2,1,1,0,11,0,1,0,2.45,0,0,0,0,0,1,0,1,0,1,1
EQUITABILITY,197,C11,458.5,0.5,1,1,0,,0,1,935.71,458.5,0.49,1,0,0,999,114.6,1,1,0,11,0,1,0,2.45,0,0,0,0,0,1,0,1,0,1,1
EQUITABILITY,200,C11,458.5,0.5,1,1,0,30,0,1,935.71,458.5,0.49,1,0,0,999,114.6,1,1,0,11,0,1,0,4.9,0,0,0,0,0,1,0,1,0,1,1
EQUITABILITY,413,C24,36.7,0.3,2,0,1,49,0,1,146.72,18.34,0.13,1,0,0,1305,9.2,2,0,1,24,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1
EQUITABILITY,415,C24,82.5,0.5,2,1,0,35,1,0,165.06,41.27,0.25,1,0,0,1305,20.6,2,0,1,24,1,0,1,1.25,0,0,0,1,0,0,0,0,0,0,1
EQUITABILITY,416,C24,68.8,0.3,3,1,0,37,0,1,275.1,22.93,0.08,1,0,0,1305,17.2,2,0,1,24,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1
EQUITABILITY,418,C24,64.2,0.3,2,1,0,43,1,0,256.76,32.1,0.13,1,0,0,1305,16,2,0,1,24,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1
EQUITABILITY,419,C24,91.7,0.5,2,1,0,34,1,0,183.4,45.85,0.25,1,0,0,1305,22.9,2,0,1,24,1,0,1,1.25,0,0,0,1,0,0,0,0,0,0,1
